Constituency,Const. No.,Leading Candidate,Leading Party,Seats,Trailing Candidate,Trailing Party,Seats.1,Margin,State
Kokrajhar,1,JOYANTA BASUMATARY,"United Peopleâs Party, Liberal",1,KAMPA BORGOYARI,Bodoland Peoples Front,0,51583,Assam
Lakhimpur,12,PRADAN BARUAH,Bharatiya Janata Party,9,UDAY SHANKAR HAZARIKA,Indian National Congress,3,201257,Assam
Nagaon,9,PRADYUT BORDOLOI,Indian National Congress,3,SURESH BORAH,Bharatiya Janata Party,9,212231,Assam
Silchar,8,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,9,SURYA KANTA SARKAR,Indian National Congress,3,264311,Assam
Sonitpur,11,RANJIT DUTTA,Bharatiya Janata Party,9,PREMLAL GANJU,Indian National Congress,3,361408,Assam
Araria,9,PRADEEP KUMAR SINGH,Bharatiya Janata Party,12,SHAHNAWAZ,Rashtriya Janata Dal,4,20094,Bihar
Arrah,32,SUDAMA PRASAD,Communist Party of India  (Marxist-Leninist)  (Liberation),2,R. K. SINGH,Bharatiya Janata Party,12,59808,Bihar
Aurangabad,37,ABHAY KUMAR SINHA,Rashtriya Janata Dal,4,SUSHIL KUMAR SINGH,Bharatiya Janata Party,12,79111,Bihar
Banka,27,GIRIDHARI YADAV,Janata Dal  (United),12,JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,4,103844,Bihar
Begusarai,24,GIRIRAJ SINGH,Bharatiya Janata Party,12,ABDHESH KUMAR ROY,Communist Party of India,0,81480,Bihar
Bhagalpur,26,AJAY KUMAR MANDAL,Janata Dal  (United),12,AJEET SHARMA,Indian National Congress,3,104868,Bihar
Buxar,33,SUDHAKAR SINGH,Rashtriya Janata Dal,4,MITHILESH TIWARI,Bharatiya Janata Party,12,30091,Bihar
Darbhanga,14,GOPAL JEE THAKUR,Bharatiya Janata Party,12,LALIT KUMAR YADAV,Rashtriya Janata Dal,4,178156,Bihar
Gaya,38,JITAN RAM MANJHI,Hindustani Awam Morcha (Secular),1,KUMAR SARVJEET,Rashtriya Janata Dal,4,101812,Bihar
Gopalganj,17,DR. ALOK KUMAR SUMAN,Janata Dal  (United),12,PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN,Vikassheel Insaan Party,0,127180,Bihar
Hajipur,21,CHIRAG PASWAN,Lok Janshakti Party(Ram Vilas),5,SHIV CHANDRA RAM,Rashtriya Janata Dal,4,170105,Bihar
Jahanabad,36,SURENDRA PRASAD YADAV,Rashtriya Janata Dal,4,CHANDESHWAR PRASAD,Janata Dal  (United),12,142591,Bihar
Jamui,40,ARUN BHARTI,Lok Janshakti Party(Ram Vilas),5,ARCHANA KUMARI,Rashtriya Janata Dal,4,112482,Bihar
Jhanjharpur,7,RAMPRIT MANDAL,Janata Dal  (United),12,SUMAN KUMAR MAHASETH,Vikassheel Insaan Party,0,184169,Bihar
Karakat,35,RAJA RAM SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),2,PAWAN SINGH,Independent,1,105858,Bihar
Katihar,11,TARIQ ANWAR,Indian National Congress,3,DULAL CHANDRA GOSWAMI,Janata Dal  (United),12,49863,Bihar
Khagaria,25,RAJESH VERMA,Lok Janshakti Party(Ram Vilas),5,SANJAY KUMAR,Communist Party of India  (Marxist),0,161131,Bihar
Kishanganj,10,MOHAMMAD JAWED,Indian National Congress,3,MUJAHID ALAM,Janata Dal  (United),12,59692,Bihar
Madhepura,13,DINESH CHANDRA YADAV,Janata Dal  (United),12,DA KUMAR CHANDRADEEP,Rashtriya Janata Dal,4,174534,Bihar
Madhubani,6,ASHOK KUMAR YADAV,Bharatiya Janata Party,12,MD ALI ASHRAF FATMI,Rashtriya Janata Dal,4,151945,Bihar
Maharajganj,19,"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,12,AAKASH KUMAR SINGH,Indian National Congress,3,102651,Bihar
Munger,28,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal  (United),12,KUMARI ANITA,Rashtriya Janata Dal,4,80870,Bihar
Muzaffarpur,15,RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,12,AJAY NISHAD,Indian National Congress,3,234927,Bihar
Nalanda,29,KAUSHALENDRA KUMAR,Janata Dal  (United),12,DR. SANDEEP SAURAV,Communist Party of India  (Marxist-Leninist)  (Liberation),2,169114,Bihar
Nawada,39,VIVEK THAKUR,Bharatiya Janata Party,12,SHRAWAN KUMAR,Rashtriya Janata Dal,4,67670,Bihar
Paschim Champaran,2,DR.SANJAY JAISWAL,Bharatiya Janata Party,12,MADAN MOHAN TIWARI,Indian National Congress,3,136568,Bihar
Patliputra,31,MISHA BHARTI,Rashtriya Janata Dal,4,RAM KRIPAL YADAV,Bharatiya Janata Party,12,85174,Bihar
Patna Sahib,30,RAVI SHANKAR PRASAD,Bharatiya Janata Party,12,ANSHUL AVIJIT,Indian National Congress,3,153846,Bihar
Purnia,12,RAJESH RANJAN ALIAS PAPPU YADAV,Independent,1,SANTOSH KUMAR,Janata Dal  (United),12,23847,Bihar
Purvi Champaran,3,RADHA MOHAN SINGH,Bharatiya Janata Party,12,DR RAJESH KUMAR,Vikassheel Insaan Party,0,88287,Bihar
Samastipur,23,SHAMBHAVI,Lok Janshakti Party(Ram Vilas),5,SUNNY HAZARI,Indian National Congress,3,187251,Bihar
Saran,20,RAJIV PRATAP RUDY,Bharatiya Janata Party,12,ROHINI ACHARYA,Rashtriya Janata Dal,4,13661,Bihar
Sasaram,34,MANOJ KUMAR,Indian National Congress,3,SHIVESH KUMAR,Bharatiya Janata Party,12,19157,Bihar
Sheohar,4,LOVELY ANAND,Janata Dal  (United),12,RITU JAISWAL,Rashtriya Janata Dal,4,29143,Bihar
Sitamarhi,5,DEVESH CHANDRA THAKUR,Janata Dal  (United),12,ARJUN RAY,Rashtriya Janata Dal,4,51356,Bihar
Siwan,18,VIJAYLAKSHMI DEVI,Janata Dal  (United),12,HENA SHAHAB,Independent,1,92857,Bihar
Supaul,8,DILESHWAR KAMAIT,Janata Dal  (United),12,CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,4,169803,Bihar
Ujiarpur,22,NITYANAND RAI,Bharatiya Janata Party,12,ALOK KUMAR MEHTA,Rashtriya Janata Dal,4,60102,Bihar
Vaishali,16,VEENA DEVI,Lok Janshakti Party(Ram Vilas),5,VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,4,89634,Bihar
Valmiki Nagar,1,SUNIL KUMAR,Janata Dal  (United),12,DEEPAK YADAV,Rashtriya Janata Dal,4,98675,Bihar
Chandigarh,1,MANISH TEWARI,Indian National Congress,1,SANJAY TANDON,Bharatiya Janata Party,0,2504,Chandigarh
BASTAR,10,MAHESH KASHYAP,Bharatiya Janata Party,10,KAWASI LAKHMA,Indian National Congress,1,55245,Chattisgarh
BILASPUR,5,TOKHAN SAHU,Bharatiya Janata Party,10,DEVENDRA YADAV,Indian National Congress,1,164558,Chattisgarh
DURG,7,VIJAY BAGHEL,Bharatiya Janata Party,10,RAJENDRA SAHU,Indian National Congress,1,438226,Chattisgarh
JANJGIR-CHAMPA,3,KAMLESH JANGDE,Bharatiya Janata Party,10,DR. SHIVKUMAR DAHARIYA,Indian National Congress,1,60000,Chattisgarh
KANKER,11,BHOJRAJ NAG,Bharatiya Janata Party,10,BIRESH THAKUR,Indian National Congress,1,1884,Chattisgarh
KORBA,4,JYOTSNA CHARANDAS MAHANT,Indian National Congress,1,SAROJ PANDEY,Bharatiya Janata Party,10,43283,Chattisgarh
MAHASAMUND,9,ROOP KUMARI CHOUDHARY,Bharatiya Janata Party,10,TAMRADHWAJ SAHU,Indian National Congress,1,145456,Chattisgarh
RAIGARH,2,RADHESHYAM RATHIYA,Bharatiya Janata Party,10,DR. MENKA DEVI SINGH,Indian National Congress,1,240391,Chattisgarh
RAIPUR,8,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,10,VIKAS UPADHYAY,Indian National Congress,1,575285,Chattisgarh
RAJNANDGAON,6,SANTOSH PANDEY,Bharatiya Janata Party,10,BHUPESH BAGHEL,Indian National Congress,1,44411,Chattisgarh
SURGUJA,1,CHINTAMANI MAHARAJ,Bharatiya Janata Party,10,SHASHI SINGH KORAM,Indian National Congress,1,64822,Chattisgarh
Dadar & Nagar Haveli,2,DELKAR KALABEN MOHANBHAI,Bharatiya Janata Party,1,AJIT RAMJIBHAI MAHALA,Indian National Congress,0,57584,Dadra and Nagar Haveli and Daman and Diu
Daman & Diu,1,PATEL UMESHBHAI BABUBHAI,Independent,1,LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party,1,6225,Dadra and Nagar Haveli and Daman and Diu
Chandni Chowk,1,PRAVEEN KHANDELWAL,Bharatiya Janata Party,7,JAI PRAKASH AGARWAL,Indian National Congress,0,89325,Delhi
East Delhi,3,HARSH MALHOTRA,Bharatiya Janata Party,7,KULDEEP KUMAR (MONU),Aam Aadmi Party,0,93663,Delhi
New Delhi,4,BANSURI SWARAJ,Bharatiya Janata Party,7,SOMNATH BHARTI,Aam Aadmi Party,0,78370,Delhi
North-East Delhi,2,MANOJ TIWARI,Bharatiya Janata Party,7,KANHAIYA KUMAR,Indian National Congress,0,138778,Delhi
North-West Delhi,5,YOGENDER CHANDOLIYA,Bharatiya Janata Party,7,UDIT RAJ,Indian National Congress,0,290849,Delhi
South Delhi,7,RAMVIR SINGH BIDHURI,Bharatiya Janata Party,7,SAHI RAM,Aam Aadmi Party,0,124333,Delhi
West Delhi,6,KAMALJEET SEHRAWAT,Bharatiya Janata Party,7,MAHABAL MISHRA,Aam Aadmi Party,0,199013,Delhi
North Goa,1,SHRIPAD YESSO NAIK,Bharatiya Janata Partyi,1,RAMAKANT KHALAP,Indian National Congress,1,116015,Goa
South Goa,2,CAPTAIN VIRIATO FERNANDES,Indian National Congress,1,PALLAVI SHRINIVAS DEMPO,Bharatiya Janata Partyi,1,13535,Goa
Ahmedabad East,7,HASMUKHBHAI PATEL (H.S.PATEL),Bharatiya Janata Party,25,HIMMATSINH PRAHLADSINH PATEL,Indian National Congress,1,461755,Gujrat
Ahmedabad West,8,DINESHBHAI MAKWANA (ADVOCATE),Bharatiya Janata Party,25,BHARAT YOGENDRA MAKWANA,Indian National Congress,1,286437,Gujrat
Amreli,14,BHARATBHAI MANUBHAI SUTARIYA,Bharatiya Janata Party,25,JENNY THUMMAR,Indian National Congress,1,321068,Gujrat
Anand,16,MITESH PATEL (BAKABHAI),Bharatiya Janata Party,25,AMIT CHAVDA,Indian National Congress,1,89939,Gujrat
Banaskantha,2,GENIBEN NAGAJI THAKOR,Indian National Congress,1,DR. REKHABEN HITESHBHAI CHAUDHARI,Bharatiya Janata Party,25,30406,Gujrat
Bardoli,23,PARBHUBHAI NAGARBHAI VASAVA,Bharatiya Janata Party,25,CHAUDHARY SIDDHARTH AMARSINH,Indian National Congress,1,230253,Gujrat
Bharuch,22,MANSUKHBHAI DHANJIBHAI VASAVA,Bharatiya Janata Party,25,CHAITARBHAI DAMJIBHAI VASAVA,Aam Aadmi Party,0,85696,Gujrat
Bhavnagar,15,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),Bharatiya Janata Party,25,UMESHBHAI NARANBHAI MAKWANA,Aam Aadmi Party,0,455289,Gujrat
Chhota Udaipur,21,JASHUBHAI BHILUBHAI RATHVA,Bharatiya Janata Party,25,SUKHRAMBHAI HARIYABHAI RATHWA,Indian National Congress,1,398777,Gujrat
Dahod,19,JASWANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,25,DR. PRABHABEN KISHORSINH TAVIYAD,Indian National Congress,1,333677,Gujrat
Gandhinagar,6,AMIT SHAH,Bharatiya Janata Party,25,SONAL RAMANBHAI PATEL,Indian National Congress,1,744716,Gujrat
Jamnagar,12,POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party,25,ADVOCATE J. P. MARAVIYA,Indian National Congress,1,238008,Gujrat
Junagadh,13,CHUDASAMA RAJESHBHAI NARANBHAI,Bharatiya Janata Party,25,JOTVA HIRABHAI ARJANBHAI,Indian National Congress,1,135494,Gujrat
Kachchh,1,CHAVDA VINOD LAKHAMSHI,Bharatiya Janata Party,25,NITESH PARBATBHAI LALAN (MATANG),Indian National Congress,1,268782,Gujrat
Kheda,17,DEVUSINH CHAUHAN,Bharatiya Janata Party,25,KALUSINH DABHI,Indian National Congress,1,357758,Gujrat
Mahesana,4,HARIBHAI PATEL,Bharatiya Janata Party,25,RAMJI THAKOR,Indian National Congress,1,328046,Gujrat
Navsari,25,C R PATIL,Bharatiya Janata Party,25,NAISHADHBHAI BHUPATBHAI  DESAI,Indian National Congress,1,773551,Gujrat
Panchmahal,18,RAJPALSINH MAHENDRASINH JADAV,Bharatiya Janata Party,25,GULABSINH SOMSINH CHAUHAN,Indian National Congress,1,509342,Gujrat
Patan,3,DABHI  BHARATSINHJI  SHANKARJI,Bharatiya Janata Party,25,CHANDANJI TALAJI THAKOR,Indian National Congress,1,31876,Gujrat
Porbandar,11,DR. MANSUKH MANDAVIYA,Bharatiya Janata Party,25,LALIT VASOYA,Indian National Congress,1,383360,Gujrat
Rajkot,10,PARSHOTTAMBHAI RUPALA,Bharatiya Janata Party,25,DHANANI PARESH,Indian National Congress,1,484260,Gujrat
Sabarkantha,5,SHOBHANABEN MAHENDRASINH BARAIYA,Bharatiya Janata Party,25,CHAUDHARI TUSHAR AMARSINH,Indian National Congress,1,155682,Gujrat
Surendranagar,9,CHANDUBHAI CHHAGANBHAI SHIHORA,Bharatiya Janata Party,25,RUTVIKBHAI LAVJIBHAI MAKWANA,Indian National Congress,1,261617,Gujrat
Vadodara,20,DR. HEMANG JOSHI,Bharatiya Janata Party,25,PADHIYAR  JASHPALSINH MAHENDRASINH (BAPU),Indian National Congress,1,582126,Gujrat
Valsad,26,DHAVAL LAXMANBHAI PATEL,Bharatiya Janata Party,25,ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress,1,210704,Gujrat
AMBALA,1,VARUN CHAUDHRY,Indian National Congress,5,BANTO KATARIA,Bharatiya Janata Party,5,49036,Haryana
BHIWANI-MAHENDRAGARH,8,DHARAMBIR SINGH,Bharatiya Janata Party,5,RAO DAN SINGH,Indian National Congress,5,41510,Haryana
FARIDABAD,10,KRISHAN PAL,Bharatiya Janata Party,5,MAHENDER PRATAP SINGH,Indian National Congress,5,172914,Haryana
GURGAON,9,RAO INDERJIT SINGH,Bharatiya Janata Party,5,RAJ BABBAR,Indian National Congress,5,75079,Haryana
HISAR,4,JAI PARKASH (J P) S/O HARIKESH,Indian National Congress,5,RANJIT SINGH,Bharatiya Janata Party,5,63381,Haryana
KARNAL,5,MANOHAR LAL,Bharatiya Janata Party,5,DIVYANSHU BUDHIRAJA,Indian National Congress,5,232577,Haryana
KURUKSHETRA,2,NAVEEN JINDAL,Bharatiya Janata Party,5,DR SUSHIL GUPTA,Aam Aadmi Party,0,29021,Haryana
ROHTAK,7,DEEPENDER SINGH HOODA,Indian National Congress,5,DR. ARVIND KUMAR SHARMA,Bharatiya Janata Party,5,345298,Haryana
SIRSA,3,SELJA,Indian National Congress,5,ASHOK TANWAR,Bharatiya Janata Party,5,268497,Haryana
SONIPAT,6,SATPAL BRAHAMCHARI,Indian National Congress,5,MOHAN LAL BADOLI,Bharatiya Janata Party,5,21816,Haryana
HAMIRPUR,3,ANURAG SINGH THAKUR,Bharatiya Janata Party ,4,SATPAL RAIZADA,Indian National Congress,0,182357,Himachal Pradesh
KANGRA,1,DR RAJEEV BHARDWAJ,Bharatiya Janata Party ,4,ANAND SHARMA,Indian National Congress,0,251895,Himachal Pradesh
MANDI,2,KANGNA RANAUT,Bharatiya Janata Party ,4,VIKRAMADITYA SINGH,Indian National Congress,0,74755,Himachal Pradesh
SHIMLA,4,Suresh Kumar Kashyap,Bharatiya Janata Party ,4,Vinod Sultanpuri,Indian National Congress,0,91451,Himachal Pradesh
ANANTNAG-RAJOURI,3,MIAN ALTAF AHMAD,Jammu & Kashmir National Conference,2,MEHBOOBA MUFTI,Jammu & Kashmir Peoples Democratic Party,0,281794,Jammu and Kashmir
BARAMULLA,1,ABDUL RASHID SHEIKH,Independent,1,OMAR ABDULLAH,Jammu & Kashmir National Conference,2,204142,Jammu and Kashmir
JAMMU,5,JUGAL KISHORE,Bharatiya Janata Party,2,RAMAN BHALLA,Indian National Congress,0,135498,Jammu and Kashmir
SRINAGAR,2,AGA SYED RUHULLAH MEHDI,Jammu & Kashmir National Conference,2,WAHEED UR REHMAN PARA,Jammu & Kashmir Peoples Democratic Party,0,188416,Jammu and Kashmir
UDHAMPUR,4,DR JITENDRA SINGH,Bharatiya Janata Party,2,CH LAL SINGH,Indian National Congress,0,124373,Jammu and Kashmir
Chatra,4,KALI CHARAN SINGH,Bharatiya Janata Party,8,KRISHNA NAND TRIPATHI,Indian National Congress,2,220959,Jharkhand
Dhanbad,7,DULU MAHATO,Bharatiya Janata Party,8,ANUPAMA SINGH,Indian National Congress,2,331583,Jharkhand
Dumka,2,NALIN SOREN,Jharkhand Mukti Morcha,3,SITA MURMU,Bharatiya Janata Party,8,22527,Jharkhand
Giridih,6,CHANDRA PRAKASH CHOUDHARY,AJSU Party,1,MATHURA PRASAD MAHATO,Jharkhand Mukti Morcha,3,80880,Jharkhand
Godda,3,NISHIKANT DUBEY,Bharatiya Janata Party,8,PRADEEP YADAV,Indian National Congress,2,101813,Jharkhand
Hazaribagh,14,MANISH JAISWAL,Bharatiya Janata Party,8,JAI PRAKASH BHAI PATEL,Indian National Congress,2,276686,Jharkhand
Jamshedpur,9,BIDYUT BARAN MAHATO,Bharatiya Janata Party,8,SAMIR KUMAR MOHANTY,Jharkhand Mukti Morcha,3,259782,Jharkhand
Khunti,11,KALI CHARAN MUNDA,Indian National Congress,2,ARJUN MUNDA,Bharatiya Janata Party,8,149675,Jharkhand
Kodarma,5,ANNPURNA DEVI,Bharatiya Janata Party,8,VINOD KUMAR SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),0,377014,Jharkhand
Lohardaga,12,SUKHDEO BHAGAT,Indian National Congress,2,SAMIR ORAON,Bharatiya Janata Party,8,139138,Jharkhand
Palamau,13,VISHNU DAYAL RAM,Bharatiya Janata Party,8,MAMTA BHUIYAN,Rashtriya Janata Dal,0,288807,Jharkhand
Rajmahal,1,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,3,TALA MARANDI,Bharatiya Janata Party,8,178264,Jharkhand
Ranchi,8,SANJAY SETH,Bharatiya Janata Party,8,YASHASWINI SAHAY,Indian National Congress,2,120512,Jharkhand
Singhbhum,10,JOBA MAJHI,Jharkhand Mukti Morcha,3,GEETA KORA,Bharatiya Janata Party,8,168402,Jharkhand
Bagalkot,3,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Bharatiya Janata Party,17,SAMYUKTA SHIVANAND PATIL,Indian National Congress,9,68399,Karnataka
Bangalore central,25,P C MOHAN,Bharatiya Janata Party,17,MANSOOR ALI KHAN,Indian National Congress,9,32707,Karnataka
Bangalore North,24,SHOBHA KARANDLAJE,Bharatiya Janata Party,17,PROFESSOR M.V RAJEEV GOWDA,Indian National Congress,9,259476,Karnataka
Bangalore Rural,23,DR C N MANJUNATH,Bharatiya Janata Party,17,D K SURESH,Indian National Congress,9,269647,Karnataka
Bangalore South,26,TEJASVI SURYA,Bharatiya Janata Party,17,SOWMYA REDDY,Indian National Congress,9,277083,Karnataka
Belgaum,2,JAGADISH SHETTAR,Bharatiya Janata Party,17,MRINAL R HEBBALKAR,Indian National Congress,9,178437,Karnataka
Bellary,9,E. TUKARAM,Indian National Congress,9,B. SREERAMULU,Bharatiya Janata Party,17,98992,Karnataka
Bidar,7,SAGAR ESHWAR KHANDRE,Indian National Congress,9,BHAGWANTH KHUBA,Bharatiya Janata Party,17,128875,Karnataka
Bijapur,4,RAMESH JIGAJINAGI,Bharatiya Janata Party,17,RAJU ALAGUR.,Indian National Congress,9,77229,Karnataka
Chamarajanagar,22,SUNIL BOSE,Indian National Congress,9,BALARAJ.S,Bharatiya Janata Party,17,188706,Karnataka
Chikkballapur,27,DR.K.SUDHAKAR,Bharatiya Janata Party,17,M.S. RAKSHA RAMAIAH,Indian National Congress,9,163460,Karnataka
Chikkodi,1,PRIYANKA SATISH JARKIHOLI,Indian National Congress,9,ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party,17,90834,Karnataka
Chitradurga,18,GOVIND MAKTHAPPA KARJOL,Bharatiya Janata Party,17,B.N.CHANDRAPPA,Indian National Congress,9,48121,Karnataka
Dakshina Kannada,17,CAPTAIN BRIJESH CHOWTA,Bharatiya Janata Party,17,PADMARAJ.R.POOJARY,Indian National Congress,9,149208,Karnataka
Davanagere,13,DR. PRABHA MALLIKARJUN,Indian National Congress,9,GAYITHRI SIDDESHWARA,Bharatiya Janata Party,17,26094,Karnataka
Dharwad,11,PRALHAD JOSHI,Bharatiya Janata Party,17,VINOD ASOOTI,Indian National Congress,9,97324,Karnataka
Gulbarga,5,RADHAKRISHNA,Indian National Congress,9,DR. UMESH G JADHAV,Bharatiya Janata Party,17,27205,Karnataka
Hassan,16,SHREYAS. M. PATEL,Indian National Congress,9,PRAJWAL REVANNA,Janata Dal  (Secular),2,42649,Karnataka
Haveri,10,BASAVARAJ BOMMAI,Bharatiya Janata Party,17,ANANDSWAMY GADDADEVARMATH,Indian National Congress,9,43513,Karnataka
Kolar,28,M. MALLESH BABU,Janata Dal  (Secular),2,K V GOWTHAM,Indian National Congress,9,71388,Karnataka
